sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,raw_CEP_HR,AMP_CEP_HR,BP_CEP_HR,Median_CEP_HR,Wavelet_CEP_HR,AMP->BP_CEP_HR,AMP->Median_CEP_HR,AMP->Wavelet_CEP_HR,BP->AMP_CEP_HR,BP->Median_CEP_HR,BP->Wavelet_CEP_HR,Median->AMP_CEP_HR,Median->BP_CEP_HR,Median->Wavelet_CEP_HR,Wavelet->AMP_CEP_HR,Wavelet->BP_CEP_HR,Wavelet->Median_CEP_HR,best_filter
sample_25,59.0,"[5.29, 35.29]",58.154296875000206,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,87.50000000000031,100.00000000000036,75.00000000000027,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,raw
sample_26,63.0,"[11.35, 41.35]",63.42773437500023,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,75.00000000000027,42.85714285714301,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,raw
sample_27,59.0,"[1.13, 31.13]",71.77734375000026,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,raw
sample_28,59.0,"[29.62, 59.62]",66.65039062499905,49.99999999999929,49.99999999999929,49.99999999999929,99.99999999999858,87.49999999999875,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,74.99999999999893,99.99999999999858,99.99999999999858,42.85714285714225,99.99999999999858,99.99999999999858,149.99999999999787,149.99999999999787,raw
sample_29,69.0,"[29.14, 59.14]",62.98828124999911,49.99999999999929,49.99999999999929,54.99999999999922,149.99999999999787,99.99999999999858,49.99999999999929,149.99999999999787,99.99999999999858,59.99999999999915,124.99999999999822,99.99999999999858,149.99999999999787,49.99999999999929,124.99999999999822,99.99999999999858,149.99999999999787,149.99999999999787,BP->AMP
sample_30,63.0,"[8.39, 38.39]",88.33007812500031,50.00000000000018,55.0000000000002,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,55.0000000000002,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,125.00000000000045,AMP
sample_31,67.0,"[1.86, 31.86]",59.033203125000206,50.00000000000018,50.00000000000018,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,125.00000000000045,87.50000000000031,150.00000000000054,BP
sample_32,66.0,"[28.43, 58.43]",61.81640624999912,49.99999999999929,49.99999999999929,59.99999999999915,74.99999999999893,99.99999999999858,59.99999999999915,74.99999999999893,99.99999999999858,59.99999999999915,74.99999999999893,99.99999999999858,74.99999999999893,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,BP
sample_33,65.0,"[1.50, 31.50]",66.21093750000024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,100.00000000000036,67.50000000000024,100.00000000000036,Wavelet->BP
sample_34,61.0,"[29.81, 59.81]",60.35156249999915,54.99999999999922,59.99999999999915,54.99999999999922,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,99.99999999999858,49.99999999999929,149.99999999999787,AMP
sample_35,68.0,"[2.02, 32.02]",72.36328125000026,50.00000000000018,60.00000000000021,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,75.00000000000027,100.00000000000036,Wavelet->BP
sample_36,64.0,"[3.81, 33.81]",68.55468750000024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,raw
sample_37,59.0,"[26.64, 56.64]",64.01367187499909,49.99999999999929,59.99999999999915,49.99999999999929,74.99999999999893,99.99999999999858,49.99999999999929,74.99999999999893,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,74.99999999999893,42.85714285714225,99.99999999999858,124.99999999999822,49.99999999999929,149.99999999999787,AMP
sample_38,64.0,"[17.23, 47.23]",62.98828125000023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,50.00000000000018,125.00000000000045,raw
sample_39,64.0,"[29.61, 59.61]",64.45312499999908,59.99999999999915,59.99999999999915,59.99999999999915,87.49999999999875,99.99999999999858,59.99999999999915,87.49999999999875,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,42.85714285714225,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,raw
sample_40,68.0,"[15.46, 45.46]",65.91796875000024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,150.00000000000054,150.00000000000054,raw
sample_41,60.0,"[3.76, 33.76]",62.40234375000023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,150.00000000000054,raw
sample_42,64.0,"[27.36, 57.36]",59.76562499999915,59.99999999999915,59.99999999999915,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,74.99999999999893,49.99999999999929,149.99999999999787,raw
sample_43,71.0,"[0.36, 30.36]",67.67578125000024,50.00000000000018,50.00000000000018,50.00000000000018,75.00000000000027,100.00000000000036,50.00000000000018,75.00000000000027,100.00000000000036,55.0000000000002,75.00000000000027,100.00000000000036,75.00000000000027,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,Median
sample_44,64.0,"[28.96, 58.96]",61.66992187499912,59.99999999999915,59.99999999999915,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,124.99999999999822,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,46.42857142857077,99.99999999999858,99.99999999999858,149.99999999999787,149.99999999999787,raw
sample_45,65.0,"[0.77, 30.77]",66.21093750000024,60.00000000000021,75.00000000000027,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,150.00000000000054,150.00000000000054,raw
sample_46,66.0,"[28.96, 58.96]",55.9570312499992,59.99999999999915,59.99999999999915,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,124.99999999999822,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,124.99999999999822,149.99999999999787,149.99999999999787,raw
sample_47,57.0,"[12.28, 42.28]",59.17968750000021,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,60.00000000000021,55.0000000000002,100.00000000000036,Wavelet->BP
sample_48,58.0,"[4.22, 34.22]",70.01953125000026,59.99999999999995,59.99999999999995,59.99999999999995,99.99999999999991,99.99999999999991,59.99999999999995,99.99999999999991,99.99999999999991,59.99999999999995,99.99999999999991,99.99999999999991,99.99999999999991,59.99999999999995,99.99999999999991,99.99999999999991,124.99999999999989,124.99999999999989,raw
sample_49,58.0,"[20.83, 50.83]",59.47265625000021,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,raw
