sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_85,115.21693917955491,72.0,,"[19.70, 49.70]",72.33979625696087,,"[8.42, 38.42]",133.07309376983775,,"[8.42, 38.42]",133.07309376983775,,"[11.83, 41.83]",133.0717496219446,,"[11.07, 41.07]",132.91914440449318
sample_86,179.95851952367877,75.0,,"[1.15, 31.15]",115.80390822673867,,"[10.94, 40.94]",179.70633726665352,,"[10.94, 40.94]",179.70633726665352,,"[23.41, 53.41]",129.07041652890345,,"[10.89, 40.89]",179.70633726665352
sample_87,127.64346383820072,79.0,,"[21.90, 51.90]",115.96420026502726,,"[8.59, 38.59]",116.1227447482139,,"[8.59, 38.59]",116.1227447482139,,"[24.26, 54.26]",115.77952687132142,,"[6.61, 36.61]",119.33062105511165
sample_88,179.062801594767,78.0,,"[11.75, 41.75]",131.98974393231572,,"[29.86, 59.86]",119.48547315211486,,"[29.86, 59.86]",119.48547315211486,,"[11.76, 41.76]",131.98974393231572,,"[30.00, 60.00]",119.48547315211928
sample_89,125.20897337846628,82.0,,"[8.45, 38.45]",118.87603931971385,,"[27.66, 57.66]",125.90238987972893,,"[27.66, 57.66]",125.90238987972893,,"[6.99, 36.99]",133.68544670865762,,"[29.29, 59.29]",126.20087871296965
sample_90,178.225127877928,76.0,,"[21.75, 51.75]",124.05567548352809,,"[9.99, 39.99]",129.70150573308115,,"[9.99, 39.99]",129.70150573308115,,"[9.21, 39.21]",178.8322900914571,,"[8.68, 38.68]",178.8322900914571
sample_91,69.81433214543542,83.0,,"[0.95, 30.95]",120.43247826893702,,"[6.11, 36.11]",69.89137261490103,,"[6.11, 36.11]",69.89137261490103,,"[1.42, 31.42]",120.27983888074837,,"[5.26, 35.26]",133.37349271926527
sample_92,125.73891221901268,79.0,,"[1.20, 31.20]",129.10213273237667,,"[12.38, 42.38]",65.30703070213289,,"[12.38, 42.38]",65.30703070213289,,"[15.75, 45.75]",124.98094132291139,,"[11.66, 41.66]",65.45302841196468
sample_93,124.98497693966188,101.0,,"[30.00, 60.00]",125.91431626108306,,"[26.95, 56.95]",126.83005674298184,,"[26.95, 56.95]",126.83005674298184,,"[28.54, 58.54]",126.21103530489981,,"[26.08, 56.08]",126.36364840684041
sample_94,122.52273611158982,85.0,,"[22.65, 52.65]",124.17362269881421,,"[7.52, 37.52]",124.65266154613302,,"[7.52, 37.52]",124.65266154613302,,"[12.73, 42.73]",124.80523518327638,,"[2.67, 32.67]",123.56915995228653
sample_95,116.34425528675251,93.0,,"[30.00, 60.00]",178.67417085044676,,"[12.61, 42.61]",129.25563464264414,,"[12.61, 42.61]",129.25563464264414,,"[27.48, 57.48]",127.26779898522538,,"[13.15, 43.15]",129.25563464264414
sample_96,133.65919720539543,91.0,,"[23.95, 53.95]",67.5965335871952,,"[26.85, 56.85]",67.9189375339894,,"[26.85, 56.85]",67.9189375339894,,"[27.19, 57.19]",67.9189375339894,,"[30.00, 60.00]",122.25408756244806
sample_97,127.77151571252296,93.0,,"[0.85, 30.85]",128.12351589945223,,"[11.00, 41.00]",128.3121558931418,,"[11.00, 41.00]",128.3121558931418,,"[13.85, 43.85]",128.29828631164787,,"[12.60, 42.60]",128.31132745892498
sample_98,122.53515179955612,88.0,,"[30.00, 60.00]",139.78769857240005,,"[4.10, 34.10]",120.24640036976895,,"[4.10, 34.10]",120.24640036976895,,"[28.72, 58.72]",139.68378071681158,,"[3.72, 33.73]",120.24640036976895
sample_99,124.20655859807648,79.0,,"[16.85, 46.85]",125.8515196379753,,"[7.54, 37.54]",126.4644091745181,,"[7.54, 37.54]",126.4644091745181,,"[1.40, 31.40]",126.03761351598423,,"[10.33, 40.33]",126.4644091745181
sample_100,135.12945872865924,74.0,,"[1.05, 31.05]",121.45149041716068,,"[24.33, 54.33]",176.86622548449017,,"[24.33, 54.33]",176.86622548449017,,"[13.67, 43.67]",177.13960565399876,,"[23.34, 53.34]",177.0188279223543
sample_101,71.10443553408597,87.0,,"[0.80, 30.80]",70.0250508992657,,"[20.38, 50.38]",71.09044090493266,,"[20.38, 50.38]",71.09044090493266,,"[25.53, 55.53]",70.93788631071081,,"[23.75, 53.75]",70.91899763748555
sample_102,126.42362548390376,85.0,,"[0.95, 30.95]",129.09888345719438,,"[27.94, 57.94]",129.53403147680302,,"[27.94, 57.94]",129.53403147680302,,"[18.53, 48.53]",179.77336538755668,,"[28.11, 58.11]",129.53403147680302
sample_103,122.52407493760758,79.0,,"[29.20, 59.20]",132.63066897348568,,"[1.71, 31.71]",121.04668461425103,,"[1.71, 31.71]",121.04668461425103,,"[9.22, 39.22]",121.48908228181197,,"[3.39, 33.39]",128.06830818581696
sample_104,125.8868389381032,79.0,,"[30.00, 60.00]",128.63346087858042,,"[9.60, 39.60]",119.7767893732151,,"[9.60, 39.60]",119.7767893732151,,"[5.46, 35.46]",126.18522905942534,,"[10.50, 40.50]",119.62420747592881
sample_105,67.51029147521335,79.0,,"[19.10, 49.10]",179.9045413474715,,"[21.00, 51.00]",179.7519505575312,,"[21.00, 51.00]",179.7519505575312,,"[8.17, 38.17]",67.1288773990822,,"[21.37, 51.37]",179.90454134747816
sample_106,125.09176478278908,79.0,,"[24.75, 54.75]",126.517036684157,,"[6.22, 36.22]",67.58006316924475,,"[6.22, 36.22]",67.58006316924475,,"[24.52, 54.52]",126.66965072117046,,"[4.55, 34.55]",67.58006316924475
sample_107,129.1035864091471,82.0,,"[16.30, 46.30]",119.24506873383214,,"[11.07, 41.07]",118.21936060504814,,"[11.07, 41.07]",118.21936060504814,,"[14.63, 44.63]",118.84870482224964,,"[12.39, 42.39]",118.52444282596221
sample_108,119.1150389135619,83.0,,"[21.70, 51.70]",118.67124841640927,,"[12.35, 42.35]",127.82327271587528,,"[12.35, 42.35]",127.82327271587528,,"[16.48, 46.48]",124.16258629620384,,"[11.57, 41.57]",124.92513168771106
